member_casual,start_hour,ride_count
casual,0,33709
casual,1,22571
casual,2,14000
casual,3,7789
casual,4,6140
casual,5,11760
casual,6,28025
casual,7,52152
casual,8,73837
casual,9,74464
casual,10,91756
casual,11,116607
casual,12,137910
casual,13,143814
casual,14,149626
casual,15,164578
casual,16,185413
casual,17,197661
casual,18,168194
casual,19,123750
casual,20,90379
casual,21,74801
casual,22,65304
casual,23,45795
member,0,31758
member,1,19473
member,2,11024
member,3,7593
member,4,8536
member,5,34057
member,6,102423
member,7,197408
member,8,251340
member,9,170751
member,10,150415
member,11,175598
member,12,200958
member,13,200785
member,14,201288
member,15,246861
member,16,337271
member,17,386723
member,18,301120
member,19,210902
member,20,147769
member,21,113382
member,22,82010
member,23,51609
